time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.002899,-0.002727,-0.012578,0.002288
0.043057,0.036568,0.042018,0.008314
0.073176,0.046840,0.045929,-0.004994
0.103295,-0.010682,-0.007633,0.000336
0.143453,-0.027291,-0.023889,0.001271
0.173591,0.004343,0.005760,-0.001285
0.203710,-0.001543,0.005356,-0.001132
0.233828,-0.001901,-0.006807,0.000845
0.263947,-0.006793,-0.011846,0.000610
0.304105,-0.005845,-0.000421,-0.003853
0.334223,0.002648,0.000896,0.001871
0.364342,0.001462,-0.000570,0.003723
0.404500,-0.005251,0.000685,-0.005374
0.434619,-0.014778,-0.012933,0.003128
0.464737,0.004153,-0.004989,0.000013
0.504895,0.000949,-0.001235,-0.000984
0.535014,-0.028531,-0.024372,-0.000132
0.565133,-0.011509,-0.017133,0.004283
0.605291,0.004300,-0.003148,0.001687
0.635407,0.003908,-0.003180,0.008666
0.665526,-0.010853,-0.006615,0.006325
0.705684,0.008167,0.002415,-0.000841
0.735803,0.013744,0.004777,-0.008003
0.765921,-0.005609,-0.004455,-0.010846
0.806079,0.002990,0.004792,-0.006320
0.836198,-0.012001,-0.016669,-0.001342
0.866317,-0.007985,-0.011982,0.000058
0.906475,-0.004903,-0.002480,-0.002496
0.936593,-0.001344,0.000457,-0.002108
0.966712,-0.016436,-0.011619,0.001210
1.006870,-0.003056,-0.005441,0.001214
1.036989,-0.003492,-0.000845,-0.004337
1.067107,-0.005352,-0.002801,-0.001256
1.097226,0.001799,0.004860,-0.001837
1.137384,-0.021225,-0.015879,-0.001427
1.167502,0.000397,0.001095,-0.000075
1.197621,0.016452,0.014533,-0.005237
1.237779,-0.024913,-0.028505,-0.003441
1.267898,-0.011822,-0.010725,0.000100
1.298016,0.005141,0.007886,-0.002376
1.338174,-0.011640,-0.000272,-0.004804
1.368293,-0.005369,-0.000564,-0.007939
1.398412,-0.005299,-0.006928,-0.001681
1.438570,-0.001620,-0.005625,-0.002909
1.468688,-0.005462,-0.005463,-0.007378
1.498807,0.002077,0.004052,-0.007801
1.538965,-0.007200,-0.009827,-0.000608
1.569084,-0.004846,-0.010151,-0.002374
1.599202,0.007521,0.007326,-0.003395
1.639360,-0.000279,0.003814,0.001760
1.669479,-0.009053,-0.008303,0.002489
1.699598,-0.027435,-0.030068,0.000573
1.739756,0.009535,0.001950,-0.005087
1.769874,0.018736,0.015725,-0.011365
1.799993,0.000780,0.005855,-0.004333
1.830112,-0.020392,-0.015307,-0.002460
1.870270,-0.003760,-0.001501,-0.004628
1.900388,0.000337,-0.002372,-0.004970
1.930507,-0.005233,-0.007034,-0.007620
1.970665,-0.004531,0.000129,-0.006359
2.000784,-0.009195,-0.006235,-0.000785
2.030902,0.000243,-0.004548,-0.006022
2.071060,-0.007854,0.002594,-0.000904
2.101179,-0.025525,-0.020817,-0.002574
2.131297,0.000131,-0.000483,-0.003685
2.171456,0.002724,0.001669,-0.000063
2.201574,-0.013643,-0.009173,-0.004697
2.231693,-0.009008,0.000760,-0.003157
2.271851,-0.014388,-0.015776,0.000028
2.301969,-0.002600,-0.004924,-0.005327
2.332088,-0.003400,-0.006126,-0.004711
2.372246,-0.013974,-0.009292,0.000638
2.402365,-0.021985,-0.015716,-0.006243
2.432483,-0.012198,-0.017743,-0.005126
2.472642,0.008684,-0.005850,0.004930
2.502760,-0.019924,-0.018006,0.000998
2.532879,-0.049431,-0.048158,-0.003652
2.573037,0.005579,-0.006965,0.000807
2.603155,-0.022792,-0.025090,-0.000622
2.633274,-0.027984,-0.026239,-0.009901
2.673432,-0.027036,-0.019663,-0.011295
2.703551,-0.002850,0.000023,-0.006205
2.733669,0.002340,0.006370,-0.007817
2.763788,-0.032031,-0.014521,-0.014006
2.803946,-0.008090,-0.014715,-0.001355
2.834065,0.009358,0.007836,0.000283
