time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.014503,-0.036519,-0.023927,-0.009209
0.044622,0.024157,-0.002223,-0.004379
0.084781,0.025588,-0.002995,0.002396
0.114900,-0.005851,0.004527,0.001378
0.145019,0.008085,-0.000753,0.001815
0.175138,-0.006673,-0.010878,0.003060
0.215297,-0.008775,-0.007576,-0.008587
0.245416,-0.004033,-0.020436,-0.000513
0.275535,0.042902,-0.015385,0.005506
0.315694,-0.002667,-0.028255,0.001665
0.345813,0.042492,0.001879,0.000342
0.375932,0.035269,0.000115,0.000298
0.416091,0.045375,0.002973,0.000836
0.446210,0.020271,0.005767,0.008132
0.476329,0.002645,0.003751,0.009942
0.516488,0.020513,-0.005747,-0.001636
0.546607,0.021742,-0.001101,0.006240
0.576727,-0.000238,-0.000290,0.019044
0.616885,-0.026967,-0.001369,0.024492
0.647005,-0.018849,-0.008037,0.010709
0.677124,-0.016929,-0.006542,0.005029
0.717283,-0.002724,-0.008451,0.007011
0.747402,0.007099,-0.013190,0.007951
0.777521,0.016107,-0.015556,0.001788
0.817680,0.021911,-0.008165,0.003751
0.847799,0.026975,-0.000090,-0.001181
0.877918,0.006615,-0.005556,0.011874
0.918077,-0.020344,-0.017001,0.024922
0.948196,-0.030767,-0.015718,0.028850
0.978315,0.076210,-0.023733,-0.016185
1.008434,0.031479,-0.021703,0.002534
1.048593,-0.057593,-0.003724,0.013120
1.078712,0.020390,-0.009119,-0.005155
1.108831,0.059624,-0.017031,-0.017036
1.148990,-0.012019,-0.012253,0.006959
1.179109,-0.009671,-0.001815,0.007346
1.209228,0.004702,-0.008211,-0.002373
1.249387,0.027787,-0.001992,-0.020237
1.279506,-0.005625,-0.010492,-0.009436
1.309626,-0.030304,-0.019490,-0.003266
1.349784,-0.016677,-0.001826,-0.005761
1.379904,0.009190,-0.004564,-0.008854
1.410023,0.026308,-0.005505,-0.007127
1.450182,0.014482,-0.011600,-0.002780
1.480301,0.020605,-0.002088,0.001718
1.510420,0.002899,-0.002598,0.014990
1.550579,0.040248,-0.014218,0.002357
1.580698,0.033000,0.003023,-0.016110
1.610817,0.011412,-0.004355,-0.008168
1.650976,-0.002225,-0.013823,-0.001005
1.681095,0.001140,-0.009664,0.000562
1.711214,-0.021811,-0.010310,0.010339
1.751373,-0.042994,-0.006453,0.024455
1.781492,-0.018306,-0.002023,0.019263
1.811611,-0.027302,-0.001926,0.015634
1.841730,-0.032873,-0.000937,0.012109
1.881889,-0.002347,-0.001559,0.011367
1.912008,0.016085,-0.001222,-0.002362
1.942127,0.033916,0.000062,-0.011341
1.982286,0.014820,0.003032,-0.004818
2.012405,0.018755,0.004446,-0.004066
2.042524,0.004450,0.003612,-0.003129
2.082683,0.021518,-0.001963,-0.005644
2.112802,0.012925,-0.001275,-0.004424
2.142922,-0.005628,-0.014031,-0.007602
2.183080,0.025325,-0.008334,-0.022240
2.213199,0.062977,-0.040190,-0.031828
2.243319,0.052841,-0.045300,-0.038703
2.283477,0.003716,-0.126015,0.011708
2.313597,0.099445,-0.075009,-0.011477
2.343716,0.077754,-0.051334,0.003185
2.383874,-0.024162,-0.084654,0.027348
2.413994,-0.025584,-0.028126,0.032247
2.444113,0.007343,0.004996,0.021561
2.484272,0.007536,0.021649,-0.001159
2.514391,0.014325,0.003292,-0.008232
2.544510,0.026380,0.001753,-0.001317
2.584669,-0.000469,0.004584,0.006350
2.614788,-0.023056,-0.008567,0.019219
2.644907,-0.013320,0.012500,-0.001081
2.675026,0.010162,0.026072,-0.009292
2.715185,-0.015881,0.014175,-0.006113
2.745304,-0.018725,0.005213,-0.010666
2.775423,-0.006196,0.011069,-0.017879
2.815582,0.025231,0.013465,-0.024000
2.845701,0.023828,0.007915,-0.016088
2.875820,0.000857,0.002600,-0.006874
2.915979,0.003637,0.014285,-0.004445
2.946098,0.002132,0.017461,-0.005238
2.976217,-0.012237,0.010815,-0.005477
3.016376,-0.001192,-0.001065,-0.005902
3.046495,0.007835,-0.004308,-0.006097
3.076617,0.014095,-0.003899,-0.013137
3.116776,-0.005022,-0.008672,-0.007325
3.146895,-0.004933,-0.003037,-0.005462
3.177015,-0.002858,-0.008661,-0.007498
3.217173,-0.004817,-0.006148,-0.005613
3.247292,0.001506,-0.000373,0.002215
3.277412,0.016776,0.002258,-0.005061
3.317570,-0.001490,-0.001052,-0.004129
3.347690,0.005418,0.002504,-0.004486
3.377809,-0.000785,0.006855,-0.004895
3.417967,0.003037,-0.003427,-0.001170
3.448087,-0.001639,-0.004690,0.002994
3.478206,-0.009571,-0.003285,0.000311
3.508325,-0.011018,0.001038,0.000005
3.548484,0.005796,-0.007155,-0.001805
3.578603,0.003954,-0.002323,0.000663
3.608722,-0.006763,-0.001232,0.000146
3.648881,0.006568,0.000663,-0.000020
3.679000,0.004520,-0.000867,-0.002297
3.709119,0.000568,-0.001126,-0.004212
3.749278,-0.002740,-0.003752,-0.000890
3.779397,0.001667,-0.003423,-0.004432
3.809516,0.005629,-0.004371,-0.003560
3.849675,-0.002199,-0.000952,-0.001948
3.879794,-0.001605,-0.000126,-0.004087
3.909913,0.005245,0.001407,-0.003128
3.950072,-0.001591,-0.002345,-0.001770
3.980191,-0.007522,0.000748,0.000538
4.024080,-0.010993,-0.003543,-0.002363
4.054199,0.002813,-0.001029,-0.008759
4.084315,0.007166,-0.001435,-0.013255
4.124474,0.002965,0.005119,0.000424
4.154593,0.008288,-0.001440,0.004771
4.184712,0.005372,-0.000564,-0.000329
4.224871,-0.003354,0.000897,0.000127
4.254990,0.001930,0.001021,0.001317
4.285109,-0.003778,-0.002828,0.003655
4.325268,-0.004728,-0.001440,-0.001832
4.355387,-0.004511,-0.001978,-0.003561
4.385506,-0.000347,-0.002512,0.000059
4.425665,0.006799,-0.000677,-0.000089
4.455784,0.000530,0.000114,-0.001639
4.485904,0.006301,-0.000780,-0.003792
