time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.008366,0.082336,-0.109300,0.077062
0.038483,0.081530,-0.070552,0.015933
0.068600,-0.000946,-0.156405,0.010660
0.108756,-0.040284,-0.141315,0.165486
0.138873,0.086063,0.075122,0.181559
0.168990,0.084171,0.241864,0.002345
0.209146,0.200668,0.285878,0.039733
0.239263,0.189889,0.230515,-0.035265
0.269380,0.058682,0.211001,-0.049490
0.309536,0.003189,-0.044298,0.003192
0.339653,-0.001198,-0.031733,0.083378
0.369770,0.104089,-0.016070,0.211614
0.399887,0.121406,-0.094770,0.338446
0.440042,0.500641,-0.068836,0.313926
0.470159,0.770268,-0.082336,0.339422
0.500276,0.834399,-0.013644,0.378214
0.540429,0.571531,0.260398,0.035386
0.570546,0.271784,0.116706,-0.305457
0.600663,0.211477,0.074887,-0.096709
0.640819,0.084321,0.314027,0.567059
0.670936,0.075270,0.196272,0.617637
0.701053,-0.149656,0.189166,0.519876
0.741209,-0.091121,0.267580,-0.311097
0.771326,-0.414542,0.044803,-0.430187
0.801443,-0.210442,0.048124,-0.534500
0.841599,0.298919,0.288527,-0.700207
0.871716,-0.137093,0.091355,-0.518081
0.901833,-0.366098,-0.108702,-0.280319
0.941989,-0.113652,0.034468,-0.059547
0.972106,-0.032870,0.036900,-0.020256
1.002223,0.084844,0.090828,-0.020739
1.042379,0.036081,0.141822,0.008519
1.072496,-0.026476,0.108187,0.022044
1.102612,-0.011301,-0.007907,0.042008
1.142768,-0.032582,0.058591,0.155992
1.172885,0.084312,0.072261,0.243083
1.203002,0.178545,0.049476,0.242658
1.233119,0.186765,0.038585,0.051613
1.273275,0.226135,-0.054594,-0.054342
1.303392,0.131698,0.034466,-0.015678
1.333509,0.243338,0.054194,-0.048769
1.373665,0.217846,-0.046404,-0.104460
1.403782,0.108302,-0.014488,-0.045205
1.433899,0.049201,-0.055664,-0.064730
1.474055,-0.025391,-0.119428,-0.086003
1.504172,0.021602,-0.096889,-0.079804
1.534289,-0.014314,-0.026929,-0.062951
1.574445,-0.053521,-0.043260,0.005323
1.604562,-0.034090,-0.043652,0.006898
1.634679,0.018857,-0.020591,-0.012730
1.674835,0.028337,0.007751,-0.047668
1.704952,0.005540,0.002724,-0.069701
1.735068,0.015284,0.012679,-0.072286
1.775224,0.035693,-0.052618,-0.048104
1.805341,-0.004069,-0.062109,-0.046115
1.835458,-0.065202,-0.056173,-0.003490
1.875614,0.014602,-0.041897,-0.025308
1.905731,-0.041464,-0.004450,0.006108
1.935848,-0.061513,-0.003075,-0.010678
1.976004,-0.001133,0.073210,-0.051947
2.006121,-0.025419,0.053833,-0.021013
2.036238,-0.019663,0.060899,-0.010026
2.076394,0.061107,0.105156,-0.024863
2.106511,-0.001799,0.092557,0.001962
2.136628,-0.081924,-0.005443,0.000934
2.166745,-0.035241,-0.060324,-0.004829
2.206901,0.046416,0.039335,-0.033230
2.237018,0.050605,0.039025,-0.003918
2.267135,0.020034,-0.017066,0.020810
2.307290,-0.010644,0.018437,0.017109
2.337407,-0.029407,0.013297,-0.000582
2.367524,-0.004486,0.033238,-0.018506
2.407680,0.055655,0.070526,-0.000748
2.437797,0.060158,0.087662,0.000664
2.467914,0.078912,0.076543,-0.012607
2.508070,0.054512,0.205401,-0.009782
2.538187,0.043277,0.129983,-0.025056
2.568304,0.044656,0.063805,-0.022854
2.608460,-0.002965,0.130567,0.003345
2.638577,0.009260,0.158661,-0.004801
2.668694,-0.037289,0.220380,0.025557
2.708850,-0.078826,0.137550,0.016381
2.738967,-0.043500,0.125635,0.013357
2.769084,-0.003698,0.057503,0.010116
2.809240,-0.001022,0.100024,0.033262
2.839357,-0.040619,0.084036,0.044504
2.869474,-0.128133,0.071619,0.052941
2.909630,-0.078757,-0.014932,0.022693
2.939747,-0.065952,0.000736,0.058633
2.969863,-0.078842,0.013474,0.028672
2.999980,-0.102385,0.061404,-0.028922
3.040136,-0.090270,0.053286,-0.032324
3.070253,-0.010805,0.083161,-0.052212
3.100370,0.043759,0.063992,-0.089151
3.140526,0.070944,0.009251,-0.051976
3.170643,0.032087,0.019170,-0.025174
3.200760,0.002360,0.018068,-0.022347
3.240916,0.010471,-0.021952,-0.005175
3.271033,0.062060,0.023394,0.004116
3.301150,0.097938,0.046821,-0.010107
3.341306,0.041553,0.025020,-0.019125
3.371423,-0.013991,0.004359,-0.021398
3.401540,-0.055973,-0.008164,0.000836
3.441696,0.011348,0.042935,-0.007579
3.471813,0.026650,0.040331,-0.024843
3.501930,-0.030329,0.008182,-0.021490
3.542085,-0.012869,-0.050451,0.013459
3.572202,0.006876,-0.028268,0.021597
3.602319,-0.026485,-0.050376,-0.000667
3.642475,-0.024487,-0.041886,0.001116
3.672592,0.056008,0.052282,-0.014261
3.702709,0.078216,0.050862,-0.009538
3.742865,0.021073,0.034129,0.011866
3.772982,0.015754,0.028181,0.014260
3.803099,0.032365,0.032524,0.001986
3.833216,0.045835,0.050007,-0.001267
3.873372,0.059504,0.063130,-0.002123
3.903489,0.006061,-0.000376,-0.004526
3.933606,0.018408,0.020413,0.019634
3.973762,0.044038,0.041961,0.028219
4.016398,0.062244,0.042115,0.016938
4.046515,0.071923,0.034878,0.003405
4.076632,0.029151,-0.025616,0.009713
4.116788,-0.012747,-0.010696,0.011654
4.146905,0.023468,0.019647,0.005410
4.177022,0.038993,0.031630,0.008576
4.217178,-0.108422,-0.014510,-0.004095
4.247295,-0.008279,-0.046121,0.022729
4.277412,-0.013603,0.000496,0.042657
4.307529,-0.007692,-0.058603,0.017145
4.347685,-0.030213,-0.046815,0.020936
4.377802,-0.043624,-0.034216,0.027242
4.407919,0.012248,-0.036772,0.038918
4.448074,0.019239,-0.017086,0.029644
4.478191,0.016129,0.006221,0.004734
4.508308,0.014553,0.019969,0.017255
4.548464,0.023676,0.022354,0.007355
4.578581,0.027597,0.032788,0.011609
4.598659,0.035241,0.042981,0.008163
4.638849,0.010416,0.021715,-0.001933
4.668966,0.012785,-0.002396,0.004197
4.699083,-0.008842,-0.016340,0.008774
4.739239,0.026275,0.000142,-0.001886
4.769356,-0.009162,-0.023795,0.003316
4.799473,-0.021143,-0.015881,0.008055
4.839629,-0.003768,-0.006022,-0.000787
4.869746,-0.015080,-0.001208,-0.007753
4.899863,-0.041578,-0.004077,-0.004025
4.940019,0.009114,0.023751,-0.006373
4.970136,0.030363,0.033919,-0.009329
5.000253,0.012487,0.015227,-0.002227
5.040409,-0.023487,-0.024675,0.002471
5.070526,-0.015969,-0.016549,0.003783
5.100643,-0.019650,-0.025636,0.000279
5.140798,-0.039830,-0.033285,0.002528
5.170915,-0.049077,-0.035950,-0.003055
5.201032,-0.021512,-0.006582,-0.011728
5.241188,-0.009011,-0.007123,-0.009447
5.271305,-0.055199,-0.037910,-0.003361
5.301422,-0.072877,-0.027879,-0.009372
5.341578,0.007878,0.009060,-0.014852
5.371695,0.027582,0.005182,-0.009407
5.401812,0.007708,0.010010,0.001560
5.431929,0.000259,-0.013632,-0.001388
5.472085,-0.024476,-0.017228,-0.005720
5.502202,-0.004778,-0.007912,-0.012060
5.532318,0.027595,0.044316,-0.013655
5.572474,-0.012245,-0.018850,-0.011855
5.602591,-0.017261,-0.016749,-0.001084
5.632708,-0.013447,-0.003472,0.000636
5.672864,-0.006574,-0.002685,0.002596
5.702981,0.018728,0.022293,0.003011
5.733098,-0.002103,0.009672,0.001622
5.773254,-0.015789,-0.019422,0.005329
5.803370,0.022290,0.026253,0.000729
5.833487,0.013004,0.014983,-0.009209
5.873643,-0.006725,0.001953,-0.009267
5.903760,-0.025390,-0.008489,-0.013833
5.933877,-0.049005,-0.011032,-0.016379
5.974033,-0.051263,-0.026192,-0.012383
6.004150,0.025222,0.024813,-0.025573
6.034267,0.080587,0.045667,-0.041213
6.074423,0.056155,0.028230,-0.033179
6.104540,0.051997,0.038553,-0.029103
6.134657,0.059101,0.040590,-0.032149
6.174813,-0.009194,0.001737,-0.042376
6.204930,-0.055798,-0.007074,-0.038502
6.235047,0.016245,0.029560,-0.033984
6.265164,0.005242,0.050580,-0.036556
6.305320,-0.026093,0.023736,-0.038710
6.335437,-0.075370,-0.011391,-0.035810
6.365554,-0.105989,-0.039797,-0.033518
6.405710,-0.037041,0.006351,-0.030876
6.435827,-0.042387,-0.015169,-0.032580
6.465944,-0.055639,-0.054074,-0.030152
6.506100,0.002052,0.013165,-0.051233
6.536217,-0.017075,0.078754,-0.063333
6.566334,-0.008788,0.045503,-0.071381
6.606490,-0.051096,0.069090,-0.099767
6.636607,-0.024012,0.112785,-0.094789
6.666724,-0.023574,0.115526,-0.080124
6.706880,-0.063223,0.033262,-0.089913
6.736997,-0.001804,0.047800,-0.057841
6.767114,0.120150,0.033739,-0.025326
6.807270,0.044361,-0.023673,-0.011286
6.837387,-0.108883,-0.142341,-0.008417
6.867504,-0.100879,-0.094561,0.010010
6.907660,-0.001947,0.026570,-0.021769
6.937777,0.027386,0.017804,-0.020749
6.967894,0.015320,0.005632,-0.031268
7.008050,0.125600,0.150698,-0.065890
7.038167,0.195696,0.159933,-0.076671
7.068284,0.209457,0.139768,-0.088984
7.108440,0.094830,0.100123,-0.071284
7.138557,-0.009024,0.065867,-0.066030
7.168674,0.052023,0.062282,-0.070933
7.198791,0.086910,0.109773,-0.081314
7.238946,0.000488,0.056078,-0.098001
7.269063,-0.075154,-0.036453,-0.033032
7.299180,-0.046259,-0.080821,-0.015387
7.339336,-0.044715,-0.001372,-0.035021
7.369453,0.036860,0.056998,-0.043776
7.399570,0.118373,0.045854,-0.029315
7.439726,0.086668,0.002506,-0.029033
7.469843,0.022282,-0.009401,-0.008654
7.499960,-0.009306,-0.036322,-0.003267
7.540115,-0.072639,-0.006312,0.009904
7.570232,-0.083267,-0.021485,0.008881
7.600349,-0.077709,-0.051420,-0.002101
7.640505,-0.034701,-0.033531,0.009511
7.670622,-0.002937,-0.030759,-0.001993
7.700739,0.026601,-0.009950,0.000528
7.740895,0.018424,-0.016336,0.000653
7.771012,0.017437,-0.031269,-0.010252
7.801129,-0.025476,-0.045311,-0.003257
7.841285,-0.017390,-0.018486,0.016137
7.871402,-0.010815,-0.026299,0.008424
7.901519,0.011238,0.009386,0.012063
7.941675,0.068061,0.041050,0.013277
7.971792,0.031474,0.036183,-0.007169
8.016933,-0.043383,-0.026669,-0.006383
8.047050,-0.079742,-0.053766,-0.022815
8.077167,-0.042526,-0.043250,-0.014644
8.117323,-0.027554,-0.030923,0.003235
8.147440,-0.018960,0.010565,-0.017032
8.177557,0.003719,0.008318,-0.018922
8.207674,-0.041082,-0.050459,-0.013626
8.247830,-0.123135,-0.084539,-0.035724
8.277947,-0.092565,-0.042775,-0.041400
8.308064,-0.080034,-0.053387,-0.034941
8.348220,-0.071791,-0.081273,-0.027878
8.378336,-0.061652,-0.117929,-0.038203
8.408453,-0.083941,-0.117817,-0.010074
8.448609,-0.061654,-0.047281,0.000162
8.478726,-0.062263,-0.037840,-0.004160
8.508843,-0.038839,0.013853,-0.006601
8.549000,-0.020621,-0.007198,-0.013713
8.579117,-0.013371,-0.016704,-0.006390
8.599195,0.006927,0.014444,-0.002109
8.640640,-0.012703,-0.022622,0.040039
8.670757,-0.029219,-0.044487,0.054780
8.700874,0.019466,0.029636,0.003369
8.741030,0.037073,0.059511,-0.022597
8.771147,0.001679,-0.018445,0.000064
8.801264,-0.083127,-0.071457,0.013646
8.841420,-0.086334,-0.106588,0.011383
8.871537,-0.055096,-0.082054,0.008790
8.901654,0.001853,-0.027056,0.008771
8.941810,0.124646,0.051874,0.020655
8.971927,0.016045,-0.012253,0.021107
9.002044,-0.038033,-0.055108,0.019067
9.032161,0.019491,0.017540,-0.001814
9.072317,0.010986,0.023664,0.001060
9.102434,-0.012489,-0.029036,0.002627
9.132551,0.013280,0.001286,0.003212
9.172707,0.033193,-0.000007,0.012063
9.202824,0.010695,-0.028049,0.020372
9.232941,-0.006891,-0.015727,0.024158
9.273096,0.018397,0.021485,0.012918
9.303213,0.043380,0.008867,0.011160
9.333330,0.006670,-0.011717,0.012342
9.373486,0.040533,0.012020,0.003546
9.403603,0.011805,0.019548,0.001796
9.433720,0.001615,-0.008608,0.000139
9.473876,0.018602,0.005038,0.002968
9.503993,0.037877,0.032755,-0.011075
9.534109,0.047259,0.036251,-0.014060
9.574265,-0.019199,-0.018899,0.000627
9.604382,-0.007191,-0.020884,-0.001268
9.634499,0.013685,0.007897,-0.001837
9.674655,-0.010355,-0.001352,-0.007454
9.704772,0.000190,-0.019308,-0.003862
9.734889,-0.025409,-0.008784,-0.002482
9.775045,-0.024704,0.015925,-0.004819
9.805162,0.011009,0.006463,-0.009395
9.835279,0.036726,0.028012,-0.015695
9.865396,0.052361,0.033853,-0.027438
9.905552,0.047549,0.038125,-0.023291
9.935669,0.007151,0.021842,-0.013153
9.965786,-0.018760,-0.023471,-0.001718
10.005942,-0.036066,-0.022113,-0.002077
10.036059,-0.013760,-0.007434,-0.004851
10.066176,0.012678,0.008448,-0.007731
10.106332,0.005100,0.010410,-0.000891
10.136449,-0.019340,0.004137,0.003273
10.166566,-0.048906,-0.029854,0.012723
10.206722,-0.007485,0.005082,0.004539
10.236839,0.027736,0.022848,-0.004168
10.266956,0.016886,0.003764,-0.004458
10.307112,-0.011911,-0.007126,-0.005069
