time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.007831,-0.360658,0.066040,0.042822
0.037952,-0.414576,-0.087732,0.066857
0.068073,-0.122523,-0.070844,-0.012385
0.108234,-0.037507,-0.062981,-0.075650
0.138355,-0.099685,-0.104565,-0.060173
0.168476,0.066957,-0.091179,-0.177698
0.208638,0.399576,-0.004865,-0.099796
0.238760,0.360918,-0.036627,-0.069824
0.268881,0.399599,0.021860,-0.135809
0.299001,0.429845,0.048838,-0.284360
0.339163,-0.059480,0.077138,-0.125893
0.369284,-0.326373,-0.085244,-0.123225
0.399405,-0.857836,-0.225784,-0.081038
0.439566,-0.483522,-0.271791,-0.053405
0.469687,0.362014,0.049437,-0.272336
0.499808,0.426935,0.029115,-0.162462
0.539969,0.183909,0.388983,-0.352365
0.570090,-0.146250,0.401249,-0.282845
0.600211,-0.587678,0.333743,0.049671
0.640372,-0.803120,0.557103,0.252114
0.670493,-0.631708,0.579846,0.423797
0.700614,-0.657738,0.435763,0.606359
0.740776,-1.059159,0.327837,0.785200
0.770896,-0.657676,1.158294,0.686344
0.801017,-0.849963,1.156490,0.443870
0.831138,-1.143631,0.579728,0.471665
0.871300,-0.714103,0.835617,0.536965
0.901421,-0.794487,0.993774,0.777943
0.931542,-0.487988,0.794170,0.616303
0.971703,-0.244903,0.428039,0.286003
1.001824,-0.445470,0.609089,0.517149
1.031945,-0.287388,0.502811,0.580382
1.072106,0.101839,0.362785,0.217464
1.102227,0.263561,0.161567,0.130715
1.132348,0.191353,0.001230,0.090648
1.172509,-0.156117,-0.156916,0.047210
1.202630,-0.035382,-0.283894,-0.030412
1.232751,0.078130,-0.310519,-0.145901
1.272913,0.298120,-0.428514,-0.235065
1.303034,0.414559,-0.236171,-0.042060
1.333154,0.009417,-0.019478,0.478611
1.373316,0.747605,-0.001373,-0.345058
1.403437,0.990831,-0.101377,-0.588698
1.433558,0.969443,-0.299708,-0.053633
1.473719,1.129875,-0.801749,-0.271993
1.503840,0.672774,-1.000171,-0.477405
1.533961,0.005041,-0.971732,-0.458193
1.574122,-0.494847,-0.887143,0.000168
1.604243,-0.380173,-0.886726,-0.098957
1.634364,-0.370474,-0.944535,-0.324882
1.674525,-0.299785,-0.570079,-0.194113
1.704646,0.036553,-0.380201,0.011583
1.734767,0.214800,-0.350318,0.052997
1.764888,0.129027,-0.306649,-0.072880
1.805050,0.136702,-0.114156,0.160678
1.835171,-0.078737,-0.121807,-0.010457
1.865292,-0.094986,-0.189245,-0.233664
1.905453,-0.170624,-0.013680,0.028904
1.935574,-0.151754,-0.015303,0.151291
1.965695,-0.003712,0.078278,0.042699
2.005856,0.213047,0.156007,-0.089218
2.035977,0.218887,0.336710,-0.143642
2.066098,0.193226,0.508703,-0.102274
2.106259,0.448688,0.488604,0.064631
2.136380,0.542495,0.600393,-0.094706
2.166501,-0.045547,0.523020,-0.079857
2.206663,-0.430446,0.392478,-0.164681
2.236784,-0.417475,-0.135904,-0.055709
2.266906,-0.616846,-0.299667,0.316556
2.307067,0.003937,0.524386,0.208335
2.337188,-0.015590,0.380901,0.149025
2.367309,-0.650313,0.391845,0.178665
2.407470,-0.511923,0.563031,0.026909
2.437591,-0.194457,1.519330,-0.033394
2.467712,-0.502946,1.632274,0.170808
2.497833,-0.522080,1.182946,0.115918
2.537994,-0.622906,0.730887,-0.135566
2.568115,0.038150,1.327131,0.213899
2.598236,-0.713749,1.188157,0.637279
2.638398,-1.339348,0.824460,0.482722
2.668518,-0.880851,0.504758,0.367881
