time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.007022,-0.518173,1.107681,-0.044159
0.037140,0.162668,0.643844,0.191901
0.077297,0.557212,-0.606151,0.147612
0.107414,-0.115110,-0.509698,0.573027
0.137532,-0.097495,-0.057008,0.881769
0.177689,-0.524219,0.233889,1.242098
0.207806,0.566116,-0.378968,0.647814
0.237924,1.241115,-1.130157,0.022272
0.278081,-0.324384,-0.626596,0.879900
0.308198,0.015794,-0.417118,0.841986
0.338316,0.395023,-0.347053,0.548890
0.368433,0.838149,-0.263785,0.702484
0.408590,0.654661,-0.429623,0.603388
0.438708,0.033599,-0.141485,0.787225
0.468825,-0.202766,-0.106209,0.270163
0.508982,-0.117828,0.055657,-0.750045
0.539100,0.215641,-0.179086,-1.167442
0.569217,0.673477,-0.466572,-1.650967
0.609374,-1.023953,-0.100438,-0.239747
0.639492,-1.238447,-0.019818,-0.140903
0.669609,-1.457813,0.194349,0.199458
0.709766,-0.749771,0.241286,0.734893
0.739884,-0.008326,0.572575,1.539711
0.770001,0.041062,0.018597,0.834185
0.810158,0.440957,0.110959,-0.402024
0.840275,0.773337,-0.299750,-0.524818
0.870393,1.483324,-1.526409,-0.583595
0.910550,1.733076,-2.780523,-0.806571
0.940667,1.256714,-3.650371,-1.327258
0.970785,0.735488,-3.479440,-1.131957
1.010942,-0.078952,-0.856791,-0.499019
1.041059,0.471607,0.319443,-0.369722
1.071177,1.245116,0.539132,-0.414772
1.111334,0.412766,0.435096,-0.844783
1.141451,0.355588,0.081344,-0.811676
1.171569,0.504923,-0.429261,-0.773971
1.201686,0.270258,-0.226458,-0.310337
1.241843,0.461331,-0.223704,-0.269541
1.271961,0.450166,-0.268651,-0.040513
1.302078,1.001034,-0.330628,0.092545
1.342235,0.300287,-0.315218,-0.229505
1.372353,-0.514896,-0.824172,-0.326226
1.402470,-0.036378,-0.629707,-0.350016
1.442627,1.282096,-0.012208,-0.351139
1.472745,0.719952,-0.010007,-0.494268
1.502862,0.288247,-0.134979,-0.596051
1.543019,0.204810,0.336541,-0.507095
1.573137,0.372804,0.507664,-0.111007
1.603254,-0.182898,0.763721,-0.036248
1.643411,-0.723163,0.725381,0.434803
1.673529,-0.588958,1.117777,0.427814
1.703646,-1.856174,1.232217,0.275423
1.743803,-2.798883,0.804498,0.325369
1.773920,-2.171749,0.661872,0.475820
1.804038,-1.345533,0.665605,0.487032
1.844195,-0.395248,0.791911,0.595479
1.874312,0.106497,0.748367,0.931740
1.904430,-1.384861,-0.209508,0.783828
1.944587,-0.933783,-1.120831,0.609725
1.974704,0.025468,-0.952310,0.438124
2.004822,0.328629,-1.199144,0.126068
2.034939,0.530059,-1.375719,-0.145740
2.075096,0.812822,-0.915316,-0.382922
2.105214,0.524261,-0.914819,-0.566664
2.135331,-0.011195,-0.431036,-0.241882
2.175488,-1.068924,0.731930,0.733783
2.205606,0.185122,0.274663,0.828465
2.235723,0.169485,0.201660,0.671133
2.275880,1.007364,-0.558757,0.232377
2.305998,0.168654,-0.992542,0.225854
2.336115,-1.240431,-0.004127,-0.047286
2.376272,0.588113,-0.342144,-1.082922
2.406390,0.089353,-0.773850,-0.906671
2.436506,0.696380,-1.421978,-0.435149
2.476663,0.568200,-0.909696,-0.354739
2.506780,1.386820,-0.114019,-0.357554
2.536898,1.131267,-0.224845,-0.529875
2.577055,0.633303,-0.915703,-0.820867
2.607172,0.563809,-0.778358,-0.508010
2.637290,0.841583,-0.373074,-0.298591
2.677447,1.325060,-0.250937,-0.611610
2.707564,1.026043,-0.563950,-0.694857
2.737682,0.883941,-0.569069,-0.578301
2.777839,0.855704,-0.015179,-0.536419
2.807956,0.938966,0.375025,-0.510908
2.838074,1.233384,0.553105,-0.159879
2.878230,1.177074,1.644877,0.034651
2.908348,1.129393,2.113200,0.255437
2.938466,-0.293898,2.857763,0.801333
2.968583,-2.442664,2.848583,0.850616
3.008740,-2.046494,1.203748,0.500337
3.038857,-1.908139,1.542839,1.036880
3.068975,-0.952767,2.187535,1.046871
3.109132,-1.086176,1.046437,0.987908
3.139249,-1.508026,-0.066568,1.320636
3.169367,-1.560531,-0.087260,1.366524
3.209524,-1.229461,-0.242445,0.787715
3.239641,-0.600807,-0.977706,0.351126
3.269759,0.102306,-1.355504,0.050278
3.309916,-0.361439,-1.593762,-0.255218
3.340033,-0.924782,-1.855126,-0.177271
3.370151,-1.054367,-0.197216,0.010918
3.410309,-1.304666,0.759629,1.040405
3.440427,-0.020170,-0.391649,0.621200
3.470545,0.477656,0.117483,0.762572
3.510701,0.391546,-1.522482,0.381091
3.540819,-1.780088,-0.678293,0.120970
3.570936,0.549776,-0.619595,-0.941756
3.611093,1.033892,-0.567613,-0.214836
3.641211,1.787440,-1.032140,0.169877
3.671328,2.234405,-1.627811,-0.027756
3.701446,1.935970,-1.581764,-0.638530
3.741603,1.420299,-0.762480,-0.563853
3.771720,1.481667,-1.294375,-0.410121
3.801838,1.763425,-1.247562,-0.281901
3.841995,1.608577,-0.950317,-0.327748
3.872112,0.935534,-0.933574,-0.453600
3.902230,1.125698,-0.424213,-0.375768
3.942386,1.487947,0.331279,-0.133831
3.972504,1.071830,0.239478,-0.102100
4.013891,0.861854,0.282150,0.128792
4.044009,0.823979,0.575514,0.798429
4.084165,0.388825,1.906742,0.775221
4.114283,-0.096015,1.697645,0.873335
4.144401,0.293193,1.387490,1.340068
4.184557,-0.020841,1.204191,1.690766
4.214675,-0.275286,0.975055,1.522580
4.244792,0.159267,1.274772,1.438333
4.274910,-0.278680,0.644916,1.305328
4.315067,-1.496760,-0.746793,0.704975
4.345184,-1.584098,-0.561834,0.301870
4.375302,-1.090875,-0.698543,-0.016940
4.415459,-0.468112,-0.628392,-0.402870
4.445576,-0.139408,-0.993320,-0.469085
4.485733,-0.710849,-1.272961,-0.871620
4.515850,-1.061916,-0.765482,-0.537731
4.545968,-1.623030,0.048691,0.658977
4.576086,-0.909302,0.133864,0.919727
4.606203,-1.735389,0.125855,0.450117
4.636355,-0.651990,0.410239,0.084078
4.666473,0.477061,-0.477032,-0.161127
4.706629,0.553780,-0.183809,-0.256742
4.736747,0.346750,0.355035,-0.684009
4.766864,1.250328,0.096642,-0.523550
4.807021,2.154924,-0.699835,-0.323015
4.837139,2.332278,-0.774366,-0.512497
4.867256,1.801022,0.280163,-0.817280
4.907413,1.245729,-0.511284,-0.829285
4.937531,1.191906,-0.998471,-0.555403
4.967648,0.977332,-0.865471,-0.496296
5.007805,0.748712,-0.708744,-0.660247
5.037922,-0.302686,-0.084984,-0.831741
5.068040,-0.526259,0.595663,-1.168831
5.108197,0.227503,0.543245,-0.999085
5.138314,-0.054071,0.936096,-0.549591
5.168432,0.368132,1.325544,-0.217583
5.208589,-0.277013,1.908423,0.404797
5.238706,-1.130290,2.343840,0.797624
5.268824,-2.263334,3.131486,0.986213
5.298941,-1.746340,2.502518,0.486898
5.339098,-2.249964,1.608951,1.071733
5.369216,-1.702737,1.529701,1.088364
5.399333,-0.783760,1.455252,0.788917
5.439489,-1.438021,0.145220,0.990427
5.469607,-1.542692,-0.377351,0.918176
5.499724,-1.356869,-0.595746,0.849568
5.539881,-1.060170,-1.623572,0.473486
5.569998,-0.403895,-1.701795,-0.038401
5.600116,-0.514449,-1.473689,-0.328797
5.640273,-1.616228,-1.929090,-0.268464
5.670390,-1.744891,-0.262496,-0.152134
5.700508,-1.565858,1.205277,0.577184
5.740665,-0.583516,-0.268873,0.704090
5.770782,-0.119363,-0.276384,0.783777
5.800900,1.177753,-1.694260,0.301892
5.841056,-2.798839,1.217592,-0.282576
5.871174,2.606462,0.181576,-0.987222
5.901292,2.240857,0.391531,-0.616896
5.941448,0.091867,-1.028405,-0.855668
5.971566,0.725923,-2.767893,-0.445337
6.001683,1.149681,-1.670183,-0.300272
6.041840,0.055094,-0.509946,-0.280230
6.071958,0.229167,-1.192284,-0.359715
6.102075,1.193232,-1.787479,-0.230643
6.142232,0.783477,-0.755861,-0.295140
6.172350,0.511763,-0.479336,-0.292360
6.202467,0.500329,-0.137046,-0.268722
6.232585,0.276313,0.091284,-0.266348
6.272742,0.309068,0.457722,-0.283369
6.302859,0.461945,0.922180,-0.160966
6.332977,-0.083772,1.846023,0.125325
6.373133,-0.428332,2.704866,0.136565
6.403251,-1.177436,2.668048,-0.086705
6.433369,-1.304626,1.791825,0.280248
6.473525,-0.181669,2.237310,1.050611
6.503643,0.794088,1.828790,0.612439
6.533760,-0.393217,1.322753,0.413973
6.573917,-2.190128,0.311063,0.638905
6.604035,-2.215827,-0.086131,0.640579
6.634152,-2.063417,-0.299841,0.772548
6.674309,-0.855819,-0.397298,0.283813
6.704427,-0.951098,-1.125664,0.238462
6.734544,-1.075783,-1.995369,0.323534
6.774701,-0.677398,-1.603395,0.158420
6.804818,0.275980,0.705614,0.285832
6.834936,1.362868,2.587698,0.537266
6.875093,1.519593,1.314611,0.459870
6.905210,1.367259,0.046837,0.568870
6.935328,0.681868,-0.320878,0.157877
6.975485,-1.305852,-1.231680,-0.111525
